"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Jeremy Guthrie","Orioles","7","5","0","32","26","175.1","6.31","2.41","1.18",".270","75.1 %","42.5 %","11.2 %","3.70","4.41","4.18","2.3","2072"
"Brian Bannister","Royals","12","9","0","27","27","165.0","4.20","2.40","0.82",".261","70.3 %","40.8 %","6.8 %","3.87","4.40","4.89","2.3","5718"
"Curt Schilling","Red Sox","9","8","0","24","24","151.0","6.02","1.37","1.25",".296","76.0 %","37.3 %","9.6 %","3.87","4.21","4.21","2.3","73"
"A.J. Burnett","Blue Jays","10","8","0","25","25","165.2","9.56","3.59","1.25",".261","76.4 %","54.8 %","17.7 %","3.75","4.33","3.51","2.3","512"
"Doug Davis","Diamondbacks","13","12","0","33","33","192.2","6.73","4.44","0.98",".318","74.9 %","47.0 %","10.3 %","4.25","4.72","4.62","2.2","1244"
"Dave Bush","Brewers","12","10","0","33","31","186.1","6.47","2.13","1.30",".320","69.2 %","43.4 %","11.8 %","5.12","4.57","4.22","2.2","4635"
"Miguel Batista","Mariners","16","11","0","33","32","193.0","6.20","3.96","0.84",".310","72.6 %","44.1 %","7.3 %","4.29","4.52","4.90","2.2","46"
"Bobby Jenks","White Sox","3","5","40","66","0","65.0","7.75","1.80","0.28",".243","69.4 %","53.8 %","3.8 %","2.77","2.56","3.19","2.2","8645"
"Chad Billingsley","Dodgers","12","5","0","43","20","147.0","8.63","3.92","0.92",".290","80.2 %","41.0 %","9.6 %","3.31","4.02","4.02","2.2","5842"
"Zack Greinke","Royals","7","7","1","52","14","122.0","7.82","2.66","0.89",".314","75.6 %","32.1 %","7.4 %","3.69","3.74","4.14","2.1","1943"
"Joakim Soria","Royals","2","3","17","62","0","69.0","9.78","2.48","0.39",".250","74.4 %","39.2 %","4.3 %","2.48","2.50","3.19","2.1","6941"
"J.J. Putz","Mariners","6","1","40","68","0","71.2","10.30","1.63","0.75",".197","94.0 %","42.1 %","9.2 %","1.38","2.67","2.72","2.1","1795"
"Kevin Millwood","Rangers","10","14","0","31","31","172.2","6.41","3.49","0.99",".340","67.7 %","46.4 %","10.1 %","5.16","4.55","4.49","2.1","106"
"Aaron Cook","Rockies","8","7","0","25","25","166.0","3.31","2.39","0.81",".285","68.1 %","57.9 %","11.0 %","4.12","4.58","4.44","2.1","1571"
"Jonathan Papelbon","Red Sox","1","3","37","59","0","58.1","12.96","2.31","0.77",".216","88.1 %","28.9 %","7.5 %","1.85","2.45","2.78","2.1","5975"
"Takashi Saito","Dodgers","2","1","39","63","0","64.1","10.91","1.82","0.70",".207","92.9 %","46.0 %","8.9 %","1.40","2.57","2.65","2.0","6021"
"Jarrod Washburn","Mariners","10","15","0","32","32","193.2","5.30","3.11","1.07",".284","71.4 %","36.5 %","8.0 %","4.32","4.77","5.09","2.0","40"
"Mariano Rivera","Yankees","3","4","30","67","0","71.1","9.34","1.51","0.50",".322","75.9 %","53.0 %","7.0 %","3.15","2.65","2.92","2.0","844"
"Jamie Moyer","Phillies","14","12","0","33","33","199.1","6.01","2.98","1.35",".303","69.7 %","39.4 %","11.8 %","5.01","4.93","4.58","2.0","1091"
"Joe Nathan","Twins","4","2","37","68","0","71.2","9.67","2.39","0.50",".276","86.3 %","40.4 %","5.6 %","1.88","2.65","3.17","2.0","1122"
"Jonathan Broxton","Dodgers","4","4","2","83","0","82.0","10.87","2.74","0.66",".310","75.1 %","48.8 %","9.8 %","2.85","2.73","2.71","1.9","4759"
"Chris Capuano","Brewers","5","12","0","29","25","150.0","7.92","3.24","1.20",".330","68.1 %","43.0 %","11.2 %","5.10","4.45","4.21","1.9","1701"
"Francisco Rodriguez","Angels","5","2","40","64","0","67.1","12.03","4.54","0.40",".299","78.0 %","43.3 %","4.8 %","2.81","2.70","3.30","1.9","1642"
"Tim Wakefield","Red Sox","17","12","0","31","31","189.0","5.24","3.05","1.05",".282","67.9 %","38.9 %","8.4 %","4.76","4.67","4.89","1.9","219"
"Trevor Hoffman","Padres","4","5","42","61","0","57.1","6.91","2.35","0.31",".270","70.3 %","30.6 %","2.3 %","2.98","2.94","4.42","1.9","1035"
"Randy Wolf","Dodgers","9","6","0","18","18","102.2","8.24","3.42","0.88",".324","70.9 %","40.8 %","8.1 %","4.73","3.99","4.23","1.9","976"
"Andy Sonnanstine","Devil Rays","6","10","0","22","22","130.2","6.68","1.79","1.24",".326","60.6 %","38.9 %","10.1 %","5.85","4.26","4.19","1.9","7667"
"Nate Robertson","Tigers","9","13","0","30","30","177.2","6.03","3.19","1.11",".308","71.3 %","44.6 %","10.0 %","4.76","4.62","4.57","1.8","1620"
"Matt Capps","Pirates","4","7","18","76","0","79.0","7.29","1.82","0.57",".260","80.3 %","31.3 %","4.4 %","2.28","3.16","4.15","1.8","4788"
"Paul Byrd","Indians","15","8","0","31","31","192.1","4.12","1.31","1.26",".309","70.6 %","38.3 %","9.5 %","4.59","4.68","4.71","1.8","594"
"Joaquin Benoit","Rangers","7","4","6","70","0","82.0","9.55","3.07","0.66",".290","78.1 %","37.3 %","7.1 %","2.85","3.17","3.52","1.8","1437"
"Chad Gaudin","Athletics","11","13","0","34","34","199.1","6.95","4.52","0.95",".305","72.3 %","51.0 %","11.5 %","4.42","4.69","4.47","1.8","1783"
"Paul Maholm","Pirates","10","15","0","29","29","177.2","5.32","2.48","1.11",".312","65.3 %","53.3 %","12.7 %","5.02","4.60","4.21","1.8","8678"
"Micah Owings","Diamondbacks","8","8","0","29","27","152.2","6.25","2.95","1.18",".273","70.9 %","37.4 %","10.1 %","4.30","4.81","4.74","1.7","4253"
"Jon Rauch","Nationals","8","4","4","88","0","87.1","7.32","2.16","0.72",".267","68.5 %","33.5 %","5.2 %","3.61","3.38","4.27","1.7","1475"
"Jake Westbrook","Indians","6","9","0","25","25","152.0","5.51","3.26","0.77",".304","70.4 %","53.4 %","10.2 %","4.32","4.33","4.28","1.7","412"
"Carlos Marmol","Cubs","5","1","1","59","0","69.1","12.46","4.54","0.39",".259","91.0 %","31.3 %","3.9 %","1.43","2.72","3.55","1.7","2790"
"Daniel Cabrera","Orioles","9","18","0","34","34","204.1","7.31","4.76","1.10",".299","66.8 %","49.5 %","11.7 %","5.55","5.01","4.73","1.7","1931"
"Bob Howry","Cubs","6","7","8","78","0","81.1","7.97","2.10","0.89",".289","76.9 %","32.4 %","7.0 %","3.32","3.52","4.00","1.7","237"
"Taylor Buchholz","Rockies","6","5","0","41","8","93.2","5.86","1.92","0.77",".318","69.1 %","44.4 %","6.8 %","4.23","3.75","4.21","1.7","2168"
"Randy Johnson","Diamondbacks","4","3","0","10","10","56.2","11.44","2.06","1.11",".328","72.6 %","40.3 %","12.5 %","3.81","3.20","2.84","1.6","60"
"Billy Wagner","Mets","2","2","34","66","0","68.1","10.54","2.90","0.79",".285","80.7 %","36.8 %","7.7 %","2.63","3.09","3.38","1.6","578"
"Mark Hendrickson","Dodgers","4","8","0","39","15","122.2","6.75","2.13","1.10",".322","64.2 %","44.1 %","11.6 %","5.21","4.06","3.79","1.6","1574"
"Barry Zito","Giants","11","13","0","34","33","196.2","5.99","3.80","1.10",".260","69.7 %","39.1 %","9.6 %","4.53","4.82","4.84","1.6","944"
"Cha Seung Baek","Mariners","4","3","0","14","12","73.1","6.01","1.72","0.74",".325","61.7 %","33.9 %","5.7 %","5.15","3.66","4.41","1.5","8214"
"Roger Clemens","Yankees","6","6","0","18","17","99.0","6.18","2.82","0.82",".293","67.8 %","46.3 %","8.7 %","4.18","4.14","4.27","1.5","815"
"Lee Gardner","Marlins","3","4","2","62","0","74.1","6.30","2.18","0.24",".297","82.0 %","42.6 %","2.2 %","1.94","3.04","4.26","1.5","1448"
"Brandon Lyon","Diamondbacks","6","4","2","73","0","74.0","4.86","2.68","0.24",".281","75.4 %","42.7 %","2.2 %","2.68","3.44","4.63","1.5","1312"
"Tom Glavine","Mets","13","8","0","34","34","200.1","4.00","2.88","1.03",".290","72.6 %","41.8 %","9.1 %","4.45","4.86","4.95","1.5","90"
"Jorge Sosa","Mets","9","8","0","42","14","112.2","5.51","3.28","0.80",".274","67.7 %","37.5 %","6.4 %","4.47","4.26","4.84","1.5","1228"
"Jon Lieber","Phillies","3","6","0","14","12","78.0","6.23","2.54","0.81",".328","67.8 %","43.8 %","9.5 %","4.73","3.98","4.01","1.4","287"
"Shawn Hill","Nationals","4","5","0","16","16","97.1","6.01","2.31","0.83",".261","71.6 %","54.7 %","10.6 %","3.42","4.03","3.92","1.4","1882"
"Jose Valverde","Diamondbacks","1","4","47","65","0","64.1","10.91","3.64","0.98",".258","82.8 %","35.9 %","9.5 %","2.66","3.58","3.61","1.4","1726"
"Jason Marquis","Cubs","12","9","0","34","33","191.2","5.12","3.57","1.03",".268","67.7 %","49.5 %","10.5 %","4.60","4.99","4.86","1.4","105"
"Huston Street","Athletics","5","2","16","48","0","50.0","11.34","2.16","0.90",".252","67.5 %","40.0 %","9.3 %","2.88","2.74","2.79","1.4","8258"
"Russ Springer","Cardinals","8","1","0","76","0","66.0","9.00","2.59","0.41",".229","76.5 %","29.9 %","3.6 %","2.18","2.83","3.82","1.4","1652"
"Matt Lindstrom","Marlins","3","4","0","71","0","67.0","8.33","2.82","0.27",".327","72.3 %","47.4 %","2.9 %","3.09","2.85","3.77","1.4","4604"
"Braden Looper","Cardinals","12","12","0","31","30","175.0","4.47","2.62","1.13",".277","66.6 %","42.2 %","10.2 %","4.94","4.82","4.74","1.4","526"
"Orlando Hernandez","Mets","9","5","0","27","24","147.2","7.80","3.90","1.40",".222","78.2 %","37.8 %","11.4 %","3.72","4.93","4.62","1.4","823"
"Joe Saunders","Angels","8","5","0","18","18","107.1","5.79","2.85","0.92",".330","72.7 %","45.4 %","8.8 %","4.44","4.26","4.39","1.4","4366"
"Rafael Perez","Indians","1","2","1","44","0","60.2","9.20","2.23","0.74",".234","83.7 %","52.6 %","10.6 %","1.78","3.01","2.91","1.3","4078"
"Josh Fogg","Rockies","10","9","0","30","29","165.2","5.11","3.21","1.25",".308","71.4 %","40.0 %","10.1 %","4.94","5.21","5.13","1.3","989"
"David Weathers","Reds","2","6","33","70","0","77.2","5.56","3.13","0.46",".258","70.7 %","35.5 %","3.8 %","3.59","3.91","4.94","1.3","902"
"Pedro Martinez","Mets","3","1","0","5","5","28.0","10.29","2.25","0.00",".379","73.8 %","31.4 %","0.0 %","2.57","1.92","3.62","1.2","200"
"Brett Tomko","- - -","4","12","0","40","19","131.1","7.20","3.29","1.23",".316","63.3 %","41.0 %","11.2 %","5.55","4.56","4.32","1.2","1056"
"Brett Myers","Phillies","5","7","21","51","3","68.2","10.88","3.54","1.18",".301","73.3 %","45.8 %","14.5 %","4.33","3.75","3.18","1.2","962"
"Saul Rivera","Nationals","4","6","3","85","0","93.0","6.19","4.06","0.10",".301","71.2 %","49.6 %","1.1 %","3.68","3.42","4.48","1.2","2027"
"Kameron Loe","Rangers","6","11","0","28","23","136.0","5.16","3.71","0.86",".321","61.8 %","56.3 %","10.5 %","5.36","4.66","4.56","1.2","4422"
"Brian Shouse","Brewers","1","1","1","73","0","47.2","6.04","2.64","0.00",".301","69.4 %","55.4 %","0.0 %","3.02","2.90","3.83","1.2","630"
"Jeremy Accardo","Blue Jays","4","4","30","64","0","67.1","7.62","3.21","0.53",".250","81.2 %","49.2 %","6.9 %","2.14","3.48","3.79","1.2","6428"
"Edwin Jackson","Devil Rays","5","15","0","32","31","161.0","7.16","4.92","1.06",".341","65.7 %","45.1 %","10.2 %","5.76","4.90","4.82","1.2","1841"
"Manny Corpas","Rockies","4","2","19","78","0","78.0","6.69","2.31","0.69",".259","84.9 %","57.4 %","9.5 %","2.08","3.60","3.61","1.2","2807"
"Justin Miller","Marlins","5","0","0","62","0","61.2","10.80","3.50","0.73",".308","71.4 %","42.6 %","7.5 %","3.65","3.06","3.37","1.2","1313"
"Noah Lowry","Giants","14","8","0","26","26","156.0","5.02","5.02","0.69",".284","74.3 %","44.9 %","6.9 %","3.92","4.89","5.30","1.2","1833"
"Shaun Marcum","Blue Jays","12","6","1","38","25","159.0","6.91","2.77","1.53",".267","76.9 %","40.2 %","13.7 %","4.13","4.93","4.28","1.1","6204"
"Sean Marshall","Cubs","7","8","0","21","19","103.1","5.84","3.05","1.13",".285","72.9 %","48.2 %","10.9 %","3.92","4.62","4.43","1.1","5905"
"Hideki Okajima","Red Sox","3","2","5","66","0","69.0","8.22","2.22","0.78",".238","85.6 %","44.6 %","8.0 %","2.22","3.33","3.56","1.1","7763"
"Matt Garza","Twins","5","7","0","16","15","83.0","7.27","3.47","0.87",".344","72.9 %","47.7 %","8.2 %","3.69","4.18","4.41","1.1","3340"
"George Sherrill","Mariners","2","0","3","73","0","45.2","11.04","3.35","0.79",".231","84.2 %","24.5 %","7.1 %","2.36","3.11","3.51","1.1","6291"
"Brandon McCarthy","Rangers","5","10","0","23","22","101.2","5.22","4.25","0.80",".300","66.9 %","35.8 %","5.6 %","4.87","4.73","5.57","1.1","4662"
"Odalis Perez","Royals","8","11","0","26","26","137.1","4.19","3.28","0.92",".332","66.9 %","45.4 %","8.1 %","5.57","4.81","5.06","1.1","668"
"Randy Flores","Cardinals","3","0","1","70","0","55.0","7.69","2.45","0.33",".371","67.3 %","40.6 %","3.0 %","4.25","2.99","4.02","1.1","1446"
"Alan Embree","Athletics","1","2","17","68","0","68.0","6.75","2.51","0.66",".297","70.9 %","34.1 %","5.2 %","3.97","3.53","4.35","1.1","1030"
"Kevin Correia","Giants","4","7","0","59","8","101.2","7.08","3.54","0.80",".278","78.6 %","45.1 %","7.3 %","3.45","4.06","4.44","1.1","1767"
"Scott Downs","Blue Jays","4","2","1","81","0","58.0","8.84","3.72","0.47",".286","84.1 %","59.9 %","8.8 %","2.17","3.24","3.30","1.1","773"
"Kyle Kendrick","Phillies","10","4","0","20","20","121.0","3.64","1.86","1.19",".281","77.9 %","47.1 %","12.3 %","3.87","4.94","4.57","1.1","6230"
"Chad Bradford","Orioles","4","7","2","78","0","64.2","4.04","2.23","0.14",".321","72.8 %","62.2 %","1.9 %","3.34","3.56","4.39","1.1","904"
"Kevin Gregg","Marlins","0","5","32","74","0","84.0","9.32","4.29","0.75",".260","75.6 %","29.0 %","5.9 %","3.54","3.89","4.59","1.1","1793"
"Justin Germano","Padres","7","10","0","26","23","133.1","5.27","2.70","0.95",".279","67.5 %","49.2 %","9.7 %","4.46","4.51","4.50","1.0","1938"
"Phil Hughes","Yankees","5","3","0","13","13","72.2","7.18","3.59","0.99",".268","66.8 %","36.9 %","8.3 %","4.46","4.35","4.58","1.0","7450"
"Bartolo Colon","Angels","6","8","0","19","18","99.1","6.89","2.63","1.36",".357","63.5 %","41.7 %","11.2 %","6.34","4.70","4.43","1.0","375"
"Derrick Turnbow","Brewers","4","5","1","77","0","68.0","11.12","6.09","0.53",".256","64.8 %","46.5 %","6.3 %","4.63","3.65","4.05","1.0","1694"
"David Wells","- - -","9","9","0","29","29","157.1","4.69","2.40","1.26",".328","69.2 %","43.5 %","10.6 %","5.43","4.87","4.71","1.0","855"
"Jason Frasor","Blue Jays","1","5","3","51","0","57.0","9.32","3.63","0.47",".284","63.4 %","45.5 %","5.5 %","4.58","3.17","3.70","1.0","1906"
"Joe Beimel","Dodgers","4","2","1","83","0","67.1","5.21","3.21","0.13",".287","67.0 %","47.6 %","1.4 %","3.88","3.39","4.54","1.0","979"
"Boof Bonser","Twins","8","12","0","31","30","173.0","7.08","3.38","1.40",".319","69.6 %","45.0 %","12.9 %","5.10","4.91","4.40","1.0","2159"
"Cla Meredith","Padres","5","6","0","80","0","79.2","6.67","1.92","0.68",".342","72.0 %","72.0 %","17.1 %","3.50","3.49","3.06","1.0","7613"
"Damaso Marte","Pirates","2","0","0","65","0","45.1","10.13","3.57","0.40",".275","77.2 %","42.6 %","4.2 %","2.38","2.89","3.64","1.0","247"
"Akinori Otsuka","Rangers","2","1","4","34","0","32.1","6.40","2.51","0.00",".263","71.4 %","55.2 %","0.0 %","2.51","2.65","3.58","1.0","1895"
"Ubaldo Jimenez","Rockies","4","4","0","15","15","82.0","7.46","4.06","1.10",".258","67.7 %","46.4 %","11.5 %","4.28","4.74","4.49","0.9","3374"
"Kip Wells","Cardinals","7","17","0","34","26","162.2","6.75","4.32","1.05",".320","63.7 %","48.2 %","11.0 %","5.70","4.86","4.68","0.9","1012"
"Pat Neshek","Twins","7","2","0","74","0","70.1","9.47","3.45","0.90",".220","76.0 %","32.0 %","8.0 %","2.94","3.67","3.94","0.9","4682"
"Bobby Seay","Tigers","3","0","1","58","0","46.1","7.38","2.91","0.19",".278","80.2 %","37.7 %","1.8 %","2.33","2.98","4.24","0.9","1225"
"Jeff Weaver","Mariners","7","13","0","27","27","146.2","4.91","2.15","1.41",".327","63.8 %","35.8 %","9.3 %","6.20","5.07","5.14","0.9","503"
"Rodrigo Lopez","Rockies","5","4","0","14","14","79.1","4.88","2.38","1.25",".279","68.9 %","47.1 %","10.6 %","4.42","4.75","4.59","0.9","150"
"Brian Tallet","Blue Jays","2","4","0","48","0","62.1","7.80","4.04","0.14",".270","69.9 %","40.3 %","1.4 %","3.47","3.35","4.57","0.9","1646"
"Dontrelle Willis","Marlins","10","15","0","35","35","205.1","6.40","3.81","1.27",".318","70.0 %","46.4 %","13.4 %","5.17","5.13","4.62","0.9","1703"
"Dustin Moseley","Angels","4","3","0","46","8","92.0","4.89","2.64","0.68",".304","70.0 %","48.0 %","6.9 %","4.40","4.12","4.51","0.9","7060"
