"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"David Price","Rays","19","6","0","32","31","208.2","8.11","3.41","0.65",".270","78.5 %","43.7 %","6.5 %","2.72","3.42","3.83","4.2","3184"
"Gavin Floyd","White Sox","10","13","0","31","31","187.1","7.25","2.79","0.67",".325","70.3 %","49.9 %","7.6 %","4.08","3.46","3.69","4.1","3886"
"Tommy Hanson","Braves","10","11","0","34","34","202.2","7.68","2.49","0.62",".286","71.4 %","41.8 %","5.8 %","3.33","3.31","3.87","4.1","9129"
"C.J. Wilson","Rangers","15","8","0","33","33","204.0","7.50","4.10","0.44",".266","72.4 %","49.2 %","5.3 %","3.35","3.56","4.06","4.1","3580"
"Matt Cain","Giants","13","11","0","33","33","223.1","7.13","2.46","0.89",".252","75.3 %","36.2 %","7.4 %","3.14","3.65","4.00","4.0","4732"
"Brett Myers","Astros","14","8","0","33","33","223.2","7.24","2.66","0.80",".288","76.3 %","48.7 %","8.5 %","3.14","3.56","3.67","3.9","962"
"Anibal Sanchez","Marlins","13","12","0","32","32","195.0","7.25","3.23","0.46",".305","70.6 %","45.1 %","4.5 %","3.55","3.32","4.04","3.9","3284"
"Dan Haren","- - -","12","12","0","35","35","235.0","8.27","2.07","1.19",".311","74.4 %","40.5 %","10.8 %","3.91","3.71","3.49","3.8","1757"
"Mark Buehrle","White Sox","13","13","0","33","33","210.1","4.24","2.10","0.73",".313","70.2 %","45.7 %","6.0 %","4.28","3.90","4.49","3.8","225"
"Ricky Romero","Blue Jays","14","9","0","32","32","210.0","7.46","3.51","0.64",".289","70.2 %","55.2 %","9.4 %","3.73","3.64","3.64","3.7","3403"
"Max Scherzer","Tigers","12","11","0","31","31","195.2","8.46","3.22","0.92",".297","74.9 %","40.3 %","9.6 %","3.50","3.71","3.68","3.7","3137"
"Brandon Morrow","Blue Jays","10","7","0","26","26","146.1","10.95","4.06","0.68",".342","69.0 %","40.4 %","7.1 %","4.49","3.16","3.48","3.6","9346"
"Wandy Rodriguez","Astros","11","12","0","32","32","195.0","8.22","3.14","0.74",".303","69.4 %","47.9 %","9.0 %","3.60","3.50","3.55","3.6","2586"
"Shaun Marcum","Blue Jays","13","8","0","31","31","195.1","7.60","1.98","1.11",".279","74.3 %","38.4 %","9.6 %","3.64","3.74","3.71","3.6","6204"
"Cole Hamels","Phillies","12","11","0","33","33","208.2","9.10","2.63","1.12",".289","82.7 %","45.4 %","12.3 %","3.06","3.67","3.28","3.5","4972"
"Johan Santana","Mets","11","9","0","29","29","199.0","6.51","2.49","0.72",".272","79.1 %","34.5 %","6.0 %","2.98","3.54","4.13","3.5","755"
"Dallas Braden","Athletics","11","14","0","30","30","192.2","5.28","2.01","0.79",".270","71.0 %","40.9 %","6.9 %","3.50","3.80","4.22","3.4","8099"
"Chris Carpenter","Cardinals","16","9","0","35","35","235.0","6.86","2.41","0.80",".278","73.3 %","51.1 %","9.3 %","3.22","3.69","3.70","3.3","1292"
"John Lackey","Red Sox","14","11","0","33","33","215.0","6.53","3.01","0.75",".319","69.3 %","45.6 %","7.3 %","4.35","3.85","4.15","3.3","1507"
"Jason Hammel","Rockies","10","9","0","30","30","177.2","7.14","2.38","0.91",".328","68.6 %","46.7 %","9.7 %","4.81","3.70","3.66","3.2","4538"
"Edwin Jackson","- - -","10","12","0","32","32","209.1","7.78","3.35","0.90",".313","69.6 %","49.4 %","10.6 %","4.47","3.86","3.71","3.2","1841"
"Gio Gonzalez","Athletics","15","9","0","33","33","200.2","7.67","4.13","0.67",".274","78.1 %","49.3 %","7.4 %","3.23","3.78","4.04","3.1","7448"
"Clay Buchholz","Red Sox","17","7","0","28","28","173.2","6.22","3.47","0.47",".261","79.0 %","50.8 %","5.6 %","2.33","3.61","4.07","3.0","3543"
"Jason Vargas","Mariners","9","12","0","31","31","192.2","5.42","2.52","0.84",".272","72.0 %","36.3 %","6.1 %","3.78","3.95","4.60","3.0","8044"
"Brian Matusz","Orioles","10","12","0","32","32","175.2","7.33","3.23","0.97",".292","71.6 %","36.2 %","7.9 %","4.30","4.05","4.31","3.0","2646"
"Livan Hernandez","Nationals","10","12","0","33","33","211.2","4.85","2.72","0.68",".287","73.0 %","39.3 %","5.8 %","3.66","3.95","4.57","2.9","1116"
"Doug Fister","Mariners","6","14","0","28","28","171.0","4.89","1.68","0.68",".302","67.7 %","47.1 %","6.4 %","4.11","3.65","4.10","2.9","9425"
"Carl Pavano","Twins","17","11","0","32","32","221.0","4.76","1.51","0.98",".281","74.0 %","51.2 %","10.6 %","3.75","4.02","3.86","2.8","790"
"Jaime Garcia","Cardinals","13","8","0","28","28","163.1","7.27","3.53","0.50",".292","75.0 %","55.9 %","7.3 %","2.70","3.41","3.62","2.7","8137"
"Carlos Marmol","Cubs","2","3","38","77","0","77.2","15.99","6.03","0.12",".293","78.1 %","35.1 %","1.6 %","2.55","2.01","2.83","2.7","2790"
"Jhoulys Chacin","Rockies","9","11","0","28","21","137.1","9.04","4.00","0.66",".285","70.6 %","46.6 %","8.7 %","3.28","3.54","3.62","2.7","2608"
"R.A. Dickey","Mets","11","9","0","27","26","174.1","5.37","2.17","0.67",".276","77.3 %","55.1 %","8.5 %","2.84","3.65","3.75","2.7","1245"
"Johnny Cueto","Reds","12","7","0","31","31","185.2","6.69","2.71","0.92",".290","76.1 %","41.7 %","8.6 %","3.64","3.97","4.09","2.6","6893"
"Phil Hughes","Yankees","18","8","0","31","29","176.1","7.45","2.96","1.28",".273","74.1 %","36.1 %","10.1 %","4.19","4.25","4.13","2.6","7450"
"Roberto Hernandez","Indians","13","14","0","33","33","210.1","5.31","3.08","0.73",".283","71.5 %","55.6 %","8.3 %","3.77","4.11","4.25","2.6","3273"
"Ryan Dempster","Cubs","15","12","0","34","34","215.1","8.69","3.59","1.04",".294","71.0 %","47.4 %","11.3 %","3.85","3.99","3.74","2.6","517"
"Randy Wells","Cubs","8","14","0","32","32","194.1","6.67","2.92","0.88",".311","72.0 %","46.9 %","9.4 %","4.26","3.93","3.94","2.6","4535"
"Scott Baker","Twins","12","9","0","29","29","170.1","7.82","2.27","1.22",".323","73.0 %","35.6 %","10.2 %","4.49","3.96","3.82","2.6","6176"
"Mike Pelfrey","Mets","15","9","1","34","33","204.0","4.99","3.00","0.53",".300","73.7 %","47.8 %","5.7 %","3.66","3.82","4.31","2.6","5203"
"Jeremy Guthrie","Orioles","11","14","0","32","32","209.1","5.12","2.15","1.07",".254","74.1 %","42.3 %","8.5 %","3.83","4.44","4.60","2.5","2072"
"Brett Cecil","Blue Jays","15","7","0","28","28","172.2","6.10","2.81","0.94",".293","69.8 %","44.2 %","8.7 %","4.22","4.03","4.15","2.5","2660"
"Brian Wilson","Giants","3","3","48","70","0","74.2","11.21","3.13","0.36",".314","86.1 %","48.7 %","4.2 %","1.81","2.19","2.85","2.5","6485"
"Ted Lilly","- - -","10","12","0","30","30","193.2","7.71","2.04","1.49",".247","77.4 %","29.5 %","11.1 %","3.62","4.27","3.95","2.5","833"
"Brett Anderson","Athletics","7","6","0","19","19","112.1","6.01","1.76","0.48",".294","75.4 %","54.6 %","5.9 %","2.80","3.21","3.62","2.5","8223"
"Stephen Strasburg","Nationals","5","3","0","12","12","68.0","12.18","2.25","0.66",".319","72.7 %","47.8 %","9.8 %","2.91","2.08","2.04","2.5","10131"
"Andy Pettitte","Yankees","11","3","0","21","21","129.0","7.05","2.86","0.91",".291","77.3 %","43.9 %","9.1 %","3.28","3.85","3.89","2.4","840"
"Heath Bell","Padres","6","1","47","67","0","70.0","11.06","3.60","0.13",".322","81.3 %","44.0 %","1.6 %","1.93","2.05","2.98","2.4","2080"
"Clayton Richard","Padres","14","9","0","33","33","201.2","6.83","3.48","0.71",".311","74.9 %","46.1 %","7.7 %","3.75","3.81","4.04","2.4","3551"
"Kevin Slowey","Twins","13","6","0","30","28","155.2","6.71","1.68","1.21",".307","71.2 %","28.3 %","8.2 %","4.45","3.98","4.24","2.3","9918"
"Hong-Chih Kuo","Dodgers","3","2","12","56","0","60.0","10.95","2.70","0.15",".206","85.8 %","35.6 %","1.5 %","1.20","1.81","2.96","2.3","7016"
"Justin Masterson","Indians","6","13","0","34","29","180.0","7.00","3.65","0.70",".324","66.6 %","59.9 %","10.0 %","4.70","3.93","3.87","2.3","2038"
"Jonathan Sanchez","Giants","13","9","0","34","33","193.1","9.54","4.47","0.98",".252","79.5 %","41.5 %","9.8 %","3.07","4.00","3.94","2.3","7507"
"Travis Wood","Reds","5","4","0","17","17","102.2","7.54","2.28","0.79",".259","68.4 %","30.5 %","6.3 %","3.51","3.42","3.97","2.2","9884"
"Daniel Hudson","- - -","8","2","0","14","14","95.1","7.93","2.55","0.76",".241","83.1 %","35.2 %","7.0 %","2.45","3.38","3.76","2.2","7146"
"Matt Thornton","White Sox","5","4","8","61","0","60.2","12.02","2.97","0.45",".286","76.5 %","39.6 %","6.0 %","2.67","2.14","2.50","2.2","1918"
"Derek Lowe","Braves","16","12","0","33","33","193.2","6.32","2.83","0.84",".307","74.2 %","58.8 %","13.1 %","4.00","3.89","3.54","2.2","199"
"Billy Wagner","Braves","7","2","37","71","0","69.1","13.50","2.86","0.65",".246","87.5 %","37.8 %","8.3 %","1.43","2.10","2.22","2.2","578"
"Tim Hudson","Braves","17","9","0","34","34","228.2","5.47","2.91","0.79",".249","81.2 %","64.1 %","13.1 %","2.83","4.09","3.77","2.1","921"
"Ervin Santana","Angels","17","10","0","33","33","222.2","6.83","2.95","1.09",".288","75.3 %","35.1 %","9.2 %","3.92","4.28","4.31","2.1","3200"
"Joel Pineiro","Angels","10","7","0","23","23","152.1","5.44","2.01","0.89",".285","73.4 %","54.9 %","10.3 %","3.84","3.84","3.73","2.0","1094"
"Ricky Nolasco","Marlins","14","9","0","26","26","157.2","8.39","1.88","1.37",".316","71.6 %","40.0 %","12.4 %","4.51","3.86","3.37","2.0","3830"
"Daisuke Matsuzaka","Red Sox","9","6","0","25","25","153.2","7.79","4.33","0.76",".284","67.2 %","33.0 %","6.5 %","4.69","4.05","4.54","2.0","7775"
"James Shields","Rays","13","15","0","34","33","203.1","8.28","2.26","1.50",".341","68.4 %","41.3 %","13.8 %","5.18","4.24","3.55","2.0","7059"
"Neftali Feliz","Rangers","4","3","40","70","0","69.1","9.22","2.34","0.65",".224","76.3 %","36.8 %","6.0 %","2.73","2.96","3.50","2.0","18"
"Carlos Zambrano","Cubs","11","6","0","36","20","129.2","8.12","4.79","0.49",".301","75.5 %","43.6 %","5.2 %","3.33","3.71","4.27","2.0","305"
"Matt Belisle","Rockies","7","5","1","76","0","92.0","8.90","1.57","0.68",".309","73.8 %","46.3 %","8.5 %","2.93","2.68","2.78","2.0","1837"
"Matt Garza","Rays","15","10","1","33","32","204.2","6.60","2.77","1.23",".272","75.5 %","35.8 %","10.0 %","3.91","4.42","4.31","1.9","3340"
"Ian Kennedy","Diamondbacks","9","10","0","32","32","194.0","7.79","3.25","1.21",".256","75.5 %","37.1 %","10.8 %","3.80","4.33","4.10","1.9","6986"
"Trevor Cahill","Athletics","18","8","0","30","30","196.2","5.40","2.88","0.87",".236","76.5 %","56.0 %","11.2 %","2.97","4.19","3.99","1.9","6249"
"Joakim Soria","Royals","1","2","43","66","0","65.2","9.73","2.19","0.55",".277","88.7 %","48.0 %","6.7 %","1.78","2.53","2.85","1.9","6941"
"Sean Marshall","Cubs","7","5","1","80","0","74.2","10.85","3.01","0.36",".294","74.3 %","52.2 %","6.5 %","2.65","2.28","2.50","1.9","5905"
"Homer Bailey","Reds","4","3","0","19","19","109.0","8.26","3.30","0.91",".315","71.0 %","41.6 %","9.3 %","4.46","3.74","3.75","1.9","8362"
"Tom Gorzelanny","Cubs","7","9","1","29","23","136.1","7.86","4.49","0.73",".309","71.4 %","40.8 %","6.8 %","4.09","3.92","4.31","1.9","6244"
"Mike Adams","Padres","4","1","0","70","0","66.2","9.86","3.11","0.27",".271","83.6 %","40.8 %","3.0 %","1.76","2.31","3.13","1.9","1937"
"John Axford","Brewers","8","2","24","50","0","58.0","11.79","4.19","0.16",".308","77.3 %","48.1 %","2.4 %","2.48","2.13","2.79","1.8","9059"
"Rafael Soriano","Rays","3","2","45","64","0","62.1","8.23","2.02","0.58",".199","81.5 %","32.5 %","4.8 %","1.73","2.81","3.62","1.8","1100"
"Chris Narveson","Brewers","12","9","0","37","28","167.2","7.35","3.17","1.13",".301","67.8 %","39.8 %","9.8 %","4.99","4.22","4.15","1.8","2141"
"Rafael Betancourt","Rockies","5","1","1","72","0","62.1","12.85","1.16","1.30",".303","73.8 %","25.9 %","11.7 %","3.61","2.49","2.12","1.8","177"
"Jake Westbrook","- - -","10","11","0","33","33","202.2","5.68","3.02","0.89",".288","71.7 %","56.4 %","11.7 %","4.22","4.22","3.97","1.8","412"
"Barry Zito","Giants","9","14","0","34","33","199.1","6.77","3.79","0.90",".279","72.1 %","36.1 %","7.5 %","4.15","4.25","4.58","1.8","944"
"Jon Niese","Mets","9","10","0","30","30","173.2","7.67","3.21","1.04",".324","70.6 %","47.7 %","11.8 %","4.20","4.10","3.80","1.7","4424"
"Bronson Arroyo","Reds","17","10","0","33","33","215.2","5.05","2.46","1.21",".239","74.4 %","43.4 %","10.5 %","3.88","4.61","4.42","1.7","978"
"Rick Porcello","Tigers","10","12","0","27","27","162.2","4.65","2.10","1.00",".307","65.9 %","50.3 %","9.9 %","4.92","4.31","4.24","1.7","2717"
"Carlos Silva","Cubs","10","6","0","21","21","113.0","6.37","1.91","0.88",".304","70.8 %","48.2 %","9.4 %","4.22","3.75","3.75","1.7","973"
"Jake Peavy","White Sox","7","6","0","17","17","107.0","7.82","2.86","1.09",".279","69.0 %","40.6 %","10.1 %","4.63","4.01","3.91","1.7","1051"
"Mariano Rivera","Yankees","3","3","33","61","0","60.0","6.75","1.65","0.30",".222","78.5 %","51.2 %","3.6 %","1.80","2.81","3.52","1.7","844"
"Madison Bumgarner","Giants","7","6","0","18","18","111.0","6.97","2.11","0.89",".314","81.7 %","45.1 %","8.1 %","3.00","3.66","3.85","1.7","5524"
"Joe Blanton","Phillies","9","6","0","29","28","175.2","6.87","2.20","1.38",".321","69.1 %","41.9 %","12.2 %","4.82","4.34","3.87","1.7","4849"
"Bud Norris","Astros","9","10","0","27","27","153.2","9.25","4.51","1.05",".314","67.1 %","43.0 %","10.8 %","4.92","4.17","3.96","1.7","9492"
"Felipe Paulino","Astros","1","9","0","19","14","91.2","8.15","4.52","0.39",".331","58.5 %","42.2 %","3.6 %","5.11","3.44","4.36","1.7","3777"
"Joaquin Benoit","Rays","1","2","1","63","0","60.1","11.19","1.64","0.90",".192","95.1 %","38.9 %","9.4 %","1.34","2.43","2.43","1.6","1437"
"James McDonald","- - -","4","6","0","15","12","71.2","8.54","3.64","0.50",".322","71.7 %","30.3 %","4.3 %","4.02","3.12","3.98","1.6","5523"
"Jeff Francis","Rockies","4","6","0","20","19","104.1","5.78","1.98","0.95",".320","64.5 %","47.0 %","10.1 %","5.00","3.88","3.79","1.6","4684"
"Hisanori Takahashi","Mets","10","6","8","53","12","122.0","8.41","3.17","0.96",".298","76.7 %","38.4 %","8.3 %","3.61","3.65","3.83","1.6","10091"
"Luke Hochevar","Royals","6","6","0","18","17","103.0","6.64","3.23","0.79",".312","65.0 %","45.9 %","8.3 %","4.81","3.93","4.09","1.6","6943"
"Paul Maholm","Pirates","9","15","0","32","32","185.1","4.95","3.01","0.73",".327","64.8 %","50.9 %","7.7 %","5.10","4.18","4.41","1.5","8678"
"Jonny Venters","Braves","4","4","1","79","0","83.0","10.08","4.23","0.11",".287","73.2 %","68.4 %","2.9 %","1.95","2.69","3.04","1.5","7175"
"Kyle Davies","Royals","8","12","0","32","32","183.2","6.17","3.92","0.98",".316","66.9 %","40.8 %","7.9 %","5.34","4.46","4.73","1.5","3642"
"Brian Duensing","Twins","10","3","0","53","13","130.2","5.37","2.41","0.76",".272","81.6 %","52.9 %","8.5 %","2.62","3.85","3.96","1.5","4064"
"Darren Oliver","Rangers","1","2","1","64","0","61.2","9.49","2.19","0.58",".310","77.6 %","48.0 %","8.3 %","2.48","2.64","2.75","1.5","206"
"J.J. Putz","White Sox","7","5","3","60","0","54.0","10.83","2.50","0.67",".276","75.9 %","48.5 %","7.7 %","2.83","2.52","2.74","1.5","1795"
"Tyler Clippard","Nationals","11","8","1","78","0","91.0","11.08","4.05","0.79",".284","78.4 %","27.8 %","6.7 %","3.07","3.18","3.64","1.4","5640"
"Freddy Garcia","White Sox","12","6","0","28","28","157.0","5.10","2.58","1.32",".290","71.7 %","40.7 %","11.6 %","4.64","4.77","4.41","1.4","1077"
"Francisco Rodriguez","Mets","4","2","25","53","0","57.1","10.52","3.30","0.47",".294","84.6 %","42.1 %","5.3 %","2.20","2.63","3.16","1.4","1642"
"A.J. Burnett","Yankees","10","15","0","33","33","186.2","6.99","3.76","1.21",".319","68.8 %","44.9 %","11.6 %","5.26","4.83","4.49","1.4","512"
"Bobby Jenks","White Sox","1","3","27","55","0","52.2","10.42","3.08","0.51",".345","65.4 %","58.3 %","10.0 %","4.44","2.59","2.54","1.4","8645"
"Koji Uehara","Orioles","1","2","13","43","0","44.0","11.25","1.02","1.02",".294","77.1 %","23.6 %","7.8 %","2.86","2.40","2.70","1.4","9227"
"Luke Gregerson","Padres","4","7","2","80","0","78.1","10.23","2.07","0.92",".215","65.7 %","48.4 %","11.6 %","3.22","2.86","2.61","1.4","4090"
"Kevin Millwood","Orioles","4","16","0","31","31","190.2","6.23","3.07","1.42",".317","70.6 %","37.2 %","11.6 %","5.10","4.86","4.46","1.3","106"
"Jorge de la Rosa","Rockies","8","7","0","20","20","121.2","8.36","4.07","1.11",".278","71.5 %","52.3 %","15.8 %","4.22","4.30","3.65","1.3","2047"
"Daniel Bard","Red Sox","1","2","3","73","0","74.2","9.16","3.62","0.72",".215","86.0 %","46.7 %","8.7 %","1.93","3.37","3.46","1.3","7115"
"Takashi Saito","Braves","2","3","1","56","0","54.0","11.50","2.83","0.67",".282","72.5 %","43.6 %","7.4 %","2.83","2.43","2.69","1.3","6021"
"Jon Rauch","Twins","3","1","21","59","0","57.2","7.18","2.18","0.47",".320","78.0 %","37.7 %","3.7 %","3.12","2.94","3.98","1.3","1475"
"Juan Oviedo","Marlins","4","3","30","68","0","65.0","9.83","2.91","0.69",".329","73.7 %","54.0 %","9.4 %","3.46","2.86","2.86","1.3","2886"
"Clay Hensley","Marlins","3","4","7","68","0","75.0","9.24","3.48","0.36",".263","80.9 %","53.4 %","4.9 %","2.16","2.87","3.34","1.3","4593"
"Tim Stauffer","Padres","6","5","0","32","7","82.2","6.64","2.61","0.33",".263","84.1 %","54.5 %","4.2 %","1.85","3.02","3.61","1.3","6432"
"Jeff Niemann","Rays","12","8","0","30","29","174.1","6.76","3.15","1.29",".263","73.4 %","44.4 %","12.2 %","4.39","4.61","4.18","1.3","8591"
"Sean Burnett","Nationals","1","7","3","73","0","63.0","8.86","2.86","0.43",".280","81.4 %","54.3 %","7.1 %","2.14","2.73","2.92","1.2","1886"
"Joba Chamberlain","Yankees","3","4","3","73","0","71.2","9.67","2.76","0.75",".327","66.6 %","45.6 %","7.9 %","4.40","2.98","3.19","1.2","2692"
"Joe Saunders","- - -","9","17","0","33","33","203.1","5.05","2.83","1.11",".308","68.1 %","43.7 %","9.8 %","4.47","4.57","4.50","1.2","4366"
"Joel Hanrahan","Pirates","4","1","6","72","0","69.2","12.92","3.36","0.78",".329","75.4 %","42.0 %","9.2 %","3.62","2.62","2.64","1.2","2186"
"Sergio Romo","Giants","5","3","0","68","0","62.0","10.16","2.03","0.87",".261","86.3 %","35.0 %","7.5 %","2.18","2.95","3.27","1.2","9817"
"Kris Medlen","Braves","6","2","0","31","14","107.2","6.94","1.76","1.09",".299","73.8 %","42.9 %","11.5 %","3.68","3.78","3.49","1.2","9417"
"Alex Sanabia","Marlins","5","3","0","15","12","72.1","5.85","1.99","0.75",".289","72.1 %","35.6 %","5.7 %","3.73","3.65","4.36","1.2","5350"
"Esmil Rogers","Rockies","2","3","0","28","8","72.0","8.25","3.25","0.63",".385","55.9 %","52.2 %","8.1 %","6.13","3.44","3.59","1.2","6317"
"Trevor Bell","Angels","2","5","0","25","7","61.0","6.64","3.10","0.30",".368","66.5 %","42.4 %","2.8 %","4.72","3.11","4.11","1.2","7074"
"Mitch Talbot","Indians","10","13","0","28","28","159.1","4.97","3.90","0.73",".301","69.4 %","47.8 %","7.0 %","4.41","4.48","4.85","1.2","4961"
"Tim Wakefield","Red Sox","4","10","0","32","19","140.0","5.40","2.31","1.22",".288","60.9 %","37.0 %","8.5 %","5.34","4.52","4.70","1.2","219"
"Wilton Lopez","Astros","5","2","1","68","0","67.0","6.72","0.67","0.54",".305","73.4 %","55.7 %","7.0 %","2.96","2.59","2.85","1.2","4227"
"Matt Capps","- - -","5","3","42","74","0","73.0","7.27","2.10","0.74",".309","77.8 %","49.8 %","8.7 %","2.47","3.23","3.31","1.2","4788"
"Grant Balfour","Rays","2","1","0","57","0","55.1","9.11","2.77","0.49",".274","78.9 %","30.6 %","4.1 %","2.28","2.68","3.59","1.2","718"
"Ryan Madson","Phillies","6","2","5","55","0","53.0","10.87","2.21","0.68",".288","80.5 %","50.4 %","8.2 %","2.55","2.61","2.75","1.2","1852"
"Brandon Lyon","Astros","6","6","20","79","0","78.0","6.23","3.58","0.23",".272","74.6 %","39.9 %","2.1 %","3.12","3.34","4.47","1.1","1312"
"Chris Volstad","Marlins","12","9","0","30","30","175.0","5.25","3.09","0.87",".298","69.6 %","47.9 %","8.8 %","4.58","4.34","4.43","1.1","9901"
"Craig Stammen","Nationals","4","4","0","35","19","128.0","5.98","2.88","0.91",".327","65.8 %","50.9 %","11.8 %","5.13","4.06","3.78","1.1","7274"
"Scott Feldman","Rangers","7","11","0","29","22","141.1","4.78","2.87","1.15",".327","64.6 %","42.6 %","9.6 %","5.48","4.73","4.69","1.1","6283"
"Scott Downs","Blue Jays","5","5","0","67","0","61.1","7.04","2.05","0.44",".256","75.7 %","57.8 %","6.0 %","2.64","3.03","3.39","1.1","773"
"Joel Zumaya","Tigers","2","1","1","31","0","38.1","7.98","2.58","0.23",".282","69.7 %","37.0 %","2.0 %","2.35","2.50","3.79","1.1","4699"
"Jair Jurrjens","Braves","7","6","0","20","20","116.1","6.65","3.25","1.01",".300","69.3 %","39.9 %","8.8 %","4.64","4.19","4.29","1.1","5556"
"Jon Garland","Padres","14","12","0","33","33","200.0","6.12","3.92","0.90",".265","75.9 %","51.9 %","11.0 %","3.47","4.41","4.22","1.1","232"
"Bruce Chen","Royals","12","7","1","33","23","140.1","6.29","3.66","1.09",".275","74.3 %","33.9 %","8.1 %","4.17","4.54","4.79","1.1","769"
"Darren O'Day","Rangers","6","2","0","72","0","62.0","6.53","1.74","0.73",".220","84.9 %","37.0 %","6.8 %","2.03","3.50","3.89","1.1","3321"
"Frank Francisco","Rangers","6","4","2","56","0","52.2","10.25","3.08","0.85",".321","73.8 %","39.4 %","9.1 %","3.76","3.12","3.16","1.1","1933"
"Joe Thatcher","Padres","1","0","0","65","0","35.0","11.57","1.80","0.26",".265","87.8 %","41.3 %","3.3 %","1.29","1.56","2.24","1.0","4620"
"Phil Coke","Tigers","7","5","2","74","1","64.2","7.38","3.62","0.28",".335","72.2 %","35.1 %","2.4 %","3.76","3.23","4.40","1.0","5535"
"Andrew Bailey","Athletics","1","3","25","47","0","49.0","7.71","2.39","0.55",".237","91.1 %","39.4 %","5.1 %","1.47","2.96","3.63","1.0","1368"
"Nick Masset","Reds","4","4","2","82","0","76.2","9.98","3.87","0.82",".291","76.0 %","47.2 %","10.3 %","3.40","3.38","3.27","1.0","7267"
"Aaron Cook","Rockies","6","8","0","23","23","127.2","4.37","3.67","0.78",".307","67.2 %","58.1 %","9.7 %","5.08","4.54","4.50","1.0","1571"
"Brad Penny","Cardinals","3","4","0","9","9","55.2","5.66","1.46","0.65",".326","72.1 %","52.8 %","7.5 %","3.23","3.40","3.63","1.0","535"
