"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Cliff Lee","- - -","12","9","0","28","28","212.1","7.84","0.76","0.68",".287","67.9 %","41.9 %","6.3 %","3.18","2.58","3.06","7.0","1636"
"Justin Verlander","Tigers","18","9","0","33","33","224.1","8.79","2.85","0.56",".286","72.0 %","41.0 %","5.6 %","3.37","2.97","3.52","6.3","8700"
"Roy Halladay","Phillies","21","10","0","33","33","250.2","7.86","1.08","0.86",".290","82.7 %","51.2 %","11.3 %","2.44","3.01","2.80","6.1","1303"
"Felix Hernandez","Mariners","13","12","0","34","34","249.2","8.36","2.52","0.61",".263","77.4 %","53.9 %","8.5 %","2.27","3.04","3.14","5.9","4772"
"Josh Johnson","Marlins","11","6","0","28","28","183.2","9.11","2.35","0.34",".297","79.2 %","45.7 %","4.2 %","2.30","2.41","3.02","5.9","4567"
"Jered Weaver","Angels","13","12","0","34","34","224.1","9.35","2.17","0.92",".276","75.7 %","36.0 %","7.8 %","3.01","3.06","3.32","5.9","4235"
"Ubaldo Jimenez","Rockies","19","8","0","33","33","221.2","8.69","3.74","0.41",".271","76.5 %","48.8 %","5.1 %","2.88","3.10","3.60","5.9","3374"
"Francisco Liriano","Twins","14","10","0","31","31","191.2","9.44","2.72","0.42",".331","73.1 %","53.6 %","6.3 %","3.62","2.66","2.95","5.7","3201"
"Adam Wainwright","Cardinals","20","11","0","33","33","230.1","8.32","2.19","0.59",".275","79.1 %","51.6 %","7.9 %","2.42","2.86","3.02","5.6","2233"
"CC Sabathia","Yankees","21","7","0","34","34","237.2","7.46","2.80","0.76",".281","75.6 %","50.7 %","8.6 %","3.18","3.54","3.63","5.1","404"
"Jon Lester","Red Sox","19","9","0","32","32","208.0","9.74","3.59","0.61",".289","74.5 %","53.6 %","8.9 %","3.25","3.13","3.18","4.8","4930"
"Clayton Kershaw","Dodgers","13","10","0","32","32","204.1","9.34","3.57","0.57",".275","76.2 %","40.1 %","5.8 %","2.91","3.12","3.64","4.7","2036"
"Zack Greinke","Royals","10","14","0","33","33","220.0","7.40","2.25","0.74",".305","65.3 %","46.0 %","7.5 %","4.17","3.34","3.60","4.7","1943"
"Colby Lewis","Rangers","12","13","0","32","32","201.0","8.78","2.91","0.94",".275","71.9 %","37.9 %","8.2 %","3.72","3.55","3.74","4.7","1259"
"Yovani Gallardo","Brewers","14","7","0","31","31","185.0","9.73","3.65","0.58",".324","69.8 %","43.0 %","7.1 %","3.84","3.02","3.29","4.6","8173"
"Roy Oswalt","- - -","13","13","0","33","32","211.2","8.21","2.34","0.81",".253","77.8 %","45.7 %","9.1 %","2.76","3.27","3.31","4.4","571"
"John Danks","White Sox","15","11","0","32","32","213.0","6.85","2.96","0.76",".274","71.5 %","45.4 %","7.4 %","3.72","3.70","3.99","4.4","6329"
"Mat Latos","Padres","14","10","0","31","31","184.2","9.21","2.44","0.78",".273","77.4 %","44.7 %","8.0 %","2.92","3.00","3.21","4.3","3815"
"Hiroki Kuroda","Dodgers","11","13","0","31","31","196.1","7.29","2.20","0.69",".283","68.9 %","51.1 %","8.0 %","3.39","3.26","3.43","4.3","3283"
"Tim Lincecum","Giants","16","10","0","33","33","212.1","9.79","3.22","0.76",".310","76.5 %","48.9 %","9.9 %","3.43","3.15","3.09","4.3","5705"
"Chad Billingsley","Dodgers","12","11","0","31","31","191.2","8.03","3.24","0.38",".301","71.0 %","49.6 %","4.5 %","3.57","3.07","3.67","4.2","5842"
